,SMILES,Solubility,MolLogP,MolMR,HeavyAtomCount,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,TPSA,LabuteASA,BertzCT,MolWt,NumHDonors,NumHAcceptors,MinPartialCharge,MaxPartialCharge
0,[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.6161271205,10.0,102.44540000000008,23.0,17.0,142.0,0.0,0.0,158.52060058500794,210.377334085253,392.5100000000002,0,0,-1.0,0.07799282789641779
1,O=C1Nc2cccc3cccc1c23,-3.2547670983,2.405500000000001,51.90120000000002,13.0,0.0,62.0,2.0,29.1,75.18356289575135,511.2292477154965,169.18299999999996,1,1,-0.3213671750394269,0.25588670667050134
2,Clc1ccc(C=O)cc1,-2.1770779444,2.1525,36.839500000000015,9.0,1.0,46.0,1.0,17.07,58.261133560819005,6085.486838548312,140.569,0,1,-0.29789639727815437,0.14954975902273554
3,[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,-3.9244090954,8.11610000000001,200.7105999999995,53.0,10.0,264.0,6.0,120.72,323.7554336987488,1964.648665828827,756.2260000000002,2,6,-0.5446689784575166,2.0
4,C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,-4.6620645831,2.4854000000000003,119.07600000000004,31.0,12.0,164.0,2.0,56.6,183.18326845703425,769.8999341256456,422.5250000000002,0,6,-0.37120126769040596,0.09837762964155546
5,Cc1cccc(C=C)c1,-3.1231503041,2.638020000000001,41.27000000000002,9.0,1.0,46.0,1.0,0.0,55.83662643050253,211.03322454352,118.17899999999999,0,0,-0.09846988607329349,-0.025991969215468973
6,CCC1CCC(CCC(O)=O)C1,-3.286116314,2.6775,47.99180000000002,12.0,4.0,70.0,0.0,37.3,73.97365475610957,153.9175691117035,170.25199999999998,1,1,-0.4812302620940988,0.3028502538400591
7,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.6645485391,0.5283999999999995,96.43820000000002,27.0,2.0,148.0,0.0,115.06000000000002,158.13554184614785,755.7707920367225,376.4490000000002,4,6,-0.3927606823565135,0.19231330373312389
8,Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-4.396652184700001,3.195800000000001,56.232500000000016,16.0,2.0,80.0,2.0,17.07,91.34603234585384,452.9607327512057,218.202,0,1,-0.2886159066941288,0.19252656693586603
9,O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.595502563999999,3.497200000000002,93.50200000000004,25.0,10.0,132.0,2.0,61.830000000000005,147.07171412934204,582.1507932669278,342.391,0,5,-0.4620045707069199,0.3376186506636066
10,CN(C)c1ccc(C=O)cc1,-2.2827688499,1.5651,46.15650000000002,11.0,2.0,58.0,1.0,20.31,66.44758523293392,238.24457522403964,149.19299999999998,0,2,-0.37766088580844104,0.14955058970726895
11,CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685,2.570800000000001,55.99100000000004,14.0,3.0,76.0,1.0,26.3,84.89612313542727,301.3575848525983,192.25800000000004,0,2,-0.4595006874222226,0.3026676680770674
12,Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-1.9803097957,12.05423999999998,225.48479999999927,54.0,0.0,288.0,6.0,121.38,322.89073780339857,1804.418547468813,733.0020000000002,6,6,-0.5079562241267914,0.12088384581233247
13,CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302388798,2.761700000000001,60.377000000000045,15.0,3.0,82.0,1.0,21.76,91.20725722575776,317.38434399782966,206.28499999999997,0,2,-0.49079586631195044,0.11895819877642325
14,COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.5440597008,3.7048000000000014,61.50150000000003,18.0,6.0,100.0,1.0,26.3,103.75767145860256,382.2179844419697,260.255,0,2,-0.3846899802497703,0.41591024737208104
16,CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.4660307863,2.5003199999999994,53.91480000000002,14.0,3.0,76.0,1.0,46.53,87.26373888571173,349.2203893594689,214.64799999999997,1,2,-0.47875912164937745,0.34409395667837994
17,[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,-2.9581950472000003,9.3243,163.39599999999962,35.0,20.0,208.0,0.0,36.92,251.87007803628515,523.6422056449971,660.2820000000003,0,8,-0.6913655271605137,2.0
18,FC(F)(F)c1cccc(Cl)c1,-3.4115138849,3.3588000000000005,36.454000000000015,11.0,0.0,60.0,1.0,0.0,66.59621766955395,254.1077532761268,180.55599999999998,0,0,-0.1661364918232736,0.41596180653951553
19,CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407,2.780900000000001,63.16900000000005,16.0,7.0,94.0,0.0,38.83,98.50133780611716,233.33220565073853,228.33199999999994,0,3,-0.4624124528417786,0.31136765080141743
20,CC(C)CCCCCOC(=O)CCS,-4.4543816995,3.0659000000000023,62.73500000000005,14.0,8.0,84.0,16.377542017891194,26.3,92.81880616474798,146.22295770630774,218.362,1,3,-0.46565320464459614,0.3061079715854794
21,CC(C)=C1CCC(=CC1)C,-4.2873429345,3.453000000000002,45.98200000000003,10.0,0.0,56.0,0.0,0.0,63.63869283950127,178.21499122004107,136.238,0,0,-0.08152454688889973,-0.01336498084424534
22,[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O,-3.4731390517,-9.132,18.635,10.0,0.0,48.0,0.0,126.38,92.7462049304502,73.74860596185444,202.13799999999998,0,6,-0.6723890340062544,3.0
